Student Name,Age,Gender,Institute Name,Course Name,class_Type,Duration,Assignments submitted,projects submitted,Mock_Test,Attendance(in %),Certification obtained,Final score(in %),Placement status
Tanvi Reddy,22,Male,CodeMasters,Data Analytics,Offline,6 months,5,1,75,93,IIT Madras Standard Course,77,No
Neha Bhat,24,Female ,Tech Academy,Data Science,Online,5 months,9,3,95,99,AWS Specialization,61,No
Priya Malhotra,25,Female ,Tech Academy,Data Analytics,Online,5 months,5,2,3,75,No Certification,80,No
Dev Venkatesh,22,Female ,Tech Academy,Ethical Hacking,Online,6 months ,8,2,73,71,No Certification,68,Yes
Kabir Gupta,22,Male,Cloud Innovators,Ethical Hacking,Offline,7 months,9,1,85,84,IIT Madras Standard Course,80,No
Bhavna Kapoor,22,Male ,CyberSecure Institute,Cloud Computing,Online,6 months,7,1,83,92,No Certification,74,No
Shivansh Naidu,22,Male,CyberSecure Institute,Robotics,Online,5 months,10,2,90,75,No Certification,98,Yes
Aarohi Venkatesh,22,Female ,CodeMasters,Cloud Computing,Online,6 months,5,1,81,89,No Certification,81,No
Bhavna Iyer,22,Female ,CyberSecure Institute,Robotics,Offline,7 months,6,1,84,70,Harvard University Professional Certificate,94,No
Vivaan Pandey,22,Female ,Cloud Innovators,Python Programming,Offline,8 months,10,1,16,96,No Certification,71,Yes
Vikram Reddy,23,Male,CyberSecure Institute,Data Science,Offline,6 months,6,1,98,92,NASSCOM Certification,73,Yes
Sai Deshmukh,25,Male,CodeMasters,Data Science,Online,5 months,5,3,66,71,No Certification,99,No
Krishna Bhat,21,Female ,CyberSecure Institute,Python Programming,Online,5 months,7,3,39,78,AWS Specialization,74,Yes
Om Venkatesh,22,Female ,CyberSecure Institute,Ethical Hacking,Offline,6 months ,6,1,35,79,AWS Specialization,64,No
Aditya Verma,24,Female ,CodeMasters,Cloud Computing,Offline,7 months,8,2,97,96,AWS Specialization,96,No
Tanvi Naidu,24,Male,Tech Academy,Ethical Hacking,Online,6 months,10,1,66,89,NASSCOM Certification,72,No
Laksh Pillai,24,Male ,Tech Academy,Data Analytics,Online,5 months,5,2,34,92,NASSCOM Certification,96,No
Krishna Gupta,25,Male,CodeMasters,Cloud Computing,Online,6 months,6,1,37,82,No Certification,99,No
Rohan Bhat,23,Female ,Tech Academy,Python Programming,Online,7 months,7,3,70,71,No Certification,85,Yes
Jhanvi Joshi,26,Female ,CodeMasters,Robotics,Online,8 months,9,2,41,99,AWS Specialization,83,Yes
Om Malhotra,24,Female ,CodeMasters,Robotics,Offline,6 months,7,1,10,89,No Certification,78,No
Ananya Tripathi,25,Male,CodeMasters,Data Science,Offline,5 months,9,2,23,90,IIT Madras Standard Course,72,No
Ananya Gupta,22,Male,Cloud Innovators,Cybersecurity,Online,5 months,,2,50,84,Harvard University Professional Certificate,72,No
Aadhya Pandey,25,Female ,CyberSecure Institute,Data Science,Online,6 months ,9,2,59,82,NASSCOM Certification,79,No
Nirav Chopra,26,Female ,CyberSecure Institute,Software Testing,Offline,7 months,10,2,80,96,Harvard University Professional Certificate,77,Yes
Ishita Chopra,22,Female ,Cloud Innovators,Data Science,Offline,6 months,8,3,,78,No Certification,92,No
Diya Tripathi,25,Male,CodeMasters,Data Science,Offline,5 months,7,3,80,75,No Certification,77,No
Rudra Iyer,23,Male ,CyberSecure Institute,Cybersecurity,Online,6 months,5,2,48,81,No Certification,88,Yes
Kavya Joshi,22,Male,AI Hub,Software Testing,Online,7 months,9,2,99,95,No Certification,91,No
Ishita Kulkarni,24,Female ,CodeMasters,Robotics,Offline,8 months,10,1,90,89,No Certification,83,No
Dev Pillai,25,Female ,AI Hub,Ethical Hacking,Online,6 months,7,3,96,85,No Certification,90,No
Krishna Iyer,22,Female ,CyberSecure Institute,Web Development,Offline,5 months,6,2,73,93,NASSCOM Certification,86,No
Ananya Joshi,22,Male,AI Hub,Ethical Hacking,Offline,5 months,5,3,78,84,AWS Specialization,91,No
Sanya Venkatesh,22,Male,Cloud Innovators,Robotics,Online,6 months ,5,1,67,98,No Certification,94,Yes
Vikram Pillai,22,Female ,CodeMasters,Data Analytics,Offline,7 months,7,3,18,94,NASSCOM Certification,75,Yes
Rohan Naidu,22,Female ,CyberSecure Institute,Software Testing,Online,,7,1,97,89,AWS Specialization,81,Yes
Kabir Mehta,22,Female ,Tech Academy,Data Analytics,Online,5 months,8,1,5,70,No Certification,91,Yes
Priya Reddy,22,Male,CodeMasters,Cloud Computing,Online,6 months,7,2,24,97,No Certification,100,Yes
Kavya Bhat,23,Male ,Cloud Innovators,Web Development,Online,7 months,10,1,35,89,IIT Madras Standard Course,60,Yes
Pooja Kapoor,25,Male,CyberSecure Institute,Cybersecurity,Offline,8 months,9,1,34,73,AWS Specialization,94,No
Neha Nair,21,Female ,CyberSecure Institute,Cloud Computing,Offline,6 months,5,2,13,99,No Certification,68,No
Laksh Pillai,22,Female ,Tech Academy,Ethical Hacking,Offline,5 months,5,2,78,94,IIT Madras Standard Course,97,No
Jhanvi Verma,24,Female ,CyberSecure Institute,Ethical Hacking,Online,7 months,5,2,75,85,IIT Madras Standard Course,68,No
Nirav Mehta,24,Male,CyberSecure Institute,Data Analytics,Offline,6 months,6,3,46,89,No Certification,87,Yes
Om Kulkarni,24,Male,Cloud Innovators,Robotics,Online,5 months,7,3,46,83,No Certification,65,Yes
Pooja Pandey,25,Female ,Cloud Innovators,Data Science,Online,6 months,9,2,74,93,AWS Specialization,79,Yes
Sanya Iyer,23,Female ,AI Hub,Web Development,Online,7 months,6,,12,85,No Certification,83,Yes
Aarohi Bhat,26,Female ,Tech Academy,Robotics,Offline,8 months,6,1,27,90,No Certification,92,No
Vikram Bhat,24,Male,Tech Academy,Web Development,Online,6 months,10,2,76,98,IIT Madras Standard Course,75,Yes
Kabir Kulkarni,25,Male ,Cloud Innovators,Data Science,Offline,5 months,10,2,20,89,No Certification,75,Yes
Kavya Gupta,25,Male,Cloud Innovators,Cloud Computing,Online,5 months,9,2,49,82,IIT Madras Course Completion,84,No
Samar Venkatesh,26,Female ,CyberSecure Institute,Python Programming,Online,6 months ,5,2,93,91,No Certification,69,No
Aryan Kapoor,22,Female ,Tech Academy,Python Programming,Offline,7 months,7,3,77,96,AWS Specialization,100,No
Laksh Bhat,25,Female ,AI Hub,Robotics,Offline,6 months,7,1,2,93,AWS Specialization,91,No
Gayatri Deshmukh,23,Male,Cloud Innovators,Ethical Hacking,Online,5 months,9,3,92,80,IIT Madras Standard Course,61,No
Meera Naidu,22,Male,CodeMasters,Data Analytics,Offline,6 months,7,1,99,92,AWS Specialization,98,Yes
Yash Bhat,24,Female ,Tech Academy,Robotics,Online,7 months,6,1,66,94,NASSCOM Certification,72,No
Aadhya Gupta,25,Female ,Tech Academy,Robotics,Offline,8 months,7,3,38,74,Harvard University Professional Certificate,69,No
Jhanvi Bhat,22,Female ,AI Hub,AI &ML,Online,6 months,10,3,46,97,IIT Madras Standard Course,60,Yes
Vikram Pillai,22,Male,Cloud Innovators,Software Testing,Offline,5 months,8,2,100,85,Harvard University Professional Certificate,89,No
Vikram Chopra,22,Male ,AI Hub,Web Development,Offline,5 months,10,1,71,75,IIT Madras Standard Course,81,No
Isha Malhotra,22,Male,Cloud Innovators,Robotics,Offline,6 months ,8,1,26,88,No Certification,91,No
Sai Joshi,22,Female ,Tech Academy,Data Analytics,Offline,7 months,5,1,59,100,NASSCOM Certification,74,Yes
Suman Bhat,22,Female ,CyberSecure Institute,Ethical Hacking,Online,6 months,10,2,99,94,Harvard University Professional Certificate,89,Yes
Om Gupta,22,Female ,CyberSecure Institute,Web Development,Offline,5 months,10,1,80,76,IIT Madras Standard Course,88,No
Om Verma,23,Male,CodeMasters,Robotics,Online,6 months,5,1,25,88,No Certification,70,No
Diya Tripathi,25,Male,CodeMasters,Software Testing,Online,7 months,5,1,52,75,IIT Madras Standard Course,93,No
Ananya Verma,21,Female ,CodeMasters,Data Analytics,Online,8 months,7,3,67,70,No Certification,70,Yes
Tanvi Nair,22,Female ,Cloud Innovators,Robotics,Online,6 months,7,1,23,91,No Certification,68,No
Vikram Chopra,24,Female ,AI Hub,Web Development,Online,5 months,6,3,70,78,IIT Madras Standard Course,87,No
Dev Tripathi,24,Male,AI Hub,Robotics,Offline,5 months,8,2,85,94,Harvard University Professional Certificate,100,No
Radha Iyer,24,Male ,CodeMasters,Cybersecurity,Offline,,8,2,73,90,AWS Specialization,86,No
Pooja Pillai,25,Male,AI Hub,AI &ML,Online,7 months,6,3,91,99,AWS Specialization,92,No
Ishita Nair,23,Female ,CodeMasters,Software Testing,Offline,6 months,5,3,7,83,No Certification,83,No
Shivansh Chopra,26,Female ,CodeMasters,Data Science,Online,5 months,6,1,32,79,No Certification,62,Yes
Aditya Nair,24,Female ,Cloud Innovators,Cybersecurity,Offline,6 months,5,3,50,70,No Certification,76,No
Shruti Pillai,25,Male,CodeMasters,Data Analytics,Online,7 months,7,3,37,92,Harvard University Professional Certificate,79,Yes
Kunal Gupta,22,Male,CodeMasters,Data Science,Online,8 months,9,3,96,94,Harvard University Professional Certificate,97,No
Aarohi Kapoor,25,Female ,AI Hub,Python Programming,Online,6 months,10,1,100,95,AWS Specialization,96,No
Kunal Iyer,26,Female ,Tech Academy,Ethical Hacking,Offline,5 months,10,3,27,83,No Certification,87,No
Pooja Deshmukh,22,Female ,CyberSecure Institute,Data Analytics,Online,5 months,8,1,64,94,No Certification,60,No
Shivansh Pillai,25,Male,CodeMasters,Data Analytics,Offline,6 months ,7,2,74,86,AWS Specialization,89,No
Suman Naidu,23,Male ,CyberSecure Institute,Data Science,Online,7 months,10,3,46,100,NASSCOM Certification,89,No
Diya Iyer,22,Male,CyberSecure Institute,Data Analytics,Offline,6 months,8,3,9,83,No Certification,73,Yes
Tanvi Chopra,24,Female ,CodeMasters,AI &ML,Online,5 months,9,2,35,81,NASSCOM Certification,67,Yes
Ishita Chopra,25,Female ,CodeMasters,Python Programming,Online,6 months,8,1,95,84,IIT Madras Standard Course,68,No
Gayatri Reddy,22,Female ,CyberSecure Institute,Cybersecurity,Online,7 months,7,1,26,79,No Certification,93,No
Kunal Deshmukh,22,Male,CodeMasters,Data Science,Offline,8 months,8,3,92,71,NASSCOM Certification,67,No
Meera Gupta,22,Male,CyberSecure Institute,Python Programming,Offline,6 months,8,3,25,78,No Certification,90,No
Aarav Bhat,22,Female ,AI Hub,Python Programming,Offline,5 months,10,2,83,75,AWS Specialization,93,Yes
Radha Tripathi,22,Female ,CyberSecure Institute,Data Analytics,Offline,6 months ,5,,92,73,NASSCOM Certification,73,Yes
Dev Iyer,22,Female ,CyberSecure Institute,Data Analytics,Online,7 months,8,2,56,93,AWS Specialization,89,No
Radha Joshi,22,Male,AI Hub,Data Analytics,Offline,6 months,7,1,93,89,Harvard University Professional Certificate,74,Yes
Neha Pandey,23,Male ,AI Hub,Data Analytics,Offline,5 months,8,1,78,91,NASSCOM Certification,65,No
Priya Iyer,25,Male,Tech Academy,AI &ML,Offline,6 months,9,1,58,84,NASSCOM Certification,61,No
Riya Bhat,21,Female ,CodeMasters,Ethical Hacking,Online,7 months,8,1,34,88,Harvard University Professional Certificate,83,No
Rudra Tripathi,22,Female ,CodeMasters,Software Testing,Online,8 months,8,3,99,93,No Certification,75,Yes
Om Kulkarni,24,Female ,Cloud Innovators,Python Programming,Online,6 months,10,3,66,88,NASSCOM Certification,94,No
Harsh Gupta,,Male,Cloud Innovators,Data Science,Online,5 months,9,2,76,85,IIT Madras Standard Course,77,Yes
Aditya Naidu,24,Male,AI Hub,Python Programming,Offline,5 months,10,1,53,80,No Certification,76,No
Sanya Kapoor,25,Female ,CyberSecure Institute,Web Development,Offline,6 months ,5,2,60,98,Harvard University Professional Certificate,93,Yes
Kavya Gowda,23,Female ,Tech Academy,Python Programming,Online,7 months,5,3,48,100,AWS Specialization,71,No
Isha Nair,26,Female ,AI Hub,Robotics,Offline,6 months,8,3,85,77,AWS Specialization,78,No
Aryan Kulkarni,24,Male,CodeMasters,Cloud Computing,Offline,5 months,6,2,77,94,IIT Madras Standard Course,69,No
Isha Tripathi,25,Male ,Cloud Innovators,Python Programming,Online,6 months,5,3,53,84,NASSCOM Certification,95,No
Yash Gowda,22,Male,Cloud Innovators,Cybersecurity,Online,7 months,9,3,21,83,Harvard University Professional Certificate,75,No
Yash Iyer,25,Female ,Tech Academy,Cloud Computing,Online,8 months,6,3,57,74,No Certification,67,No
Shivansh Gupta,26,Female ,CodeMasters,Cybersecurity,Online,,9,3,63,85,No Certification,81,No
Tanvi Reddy,22,Female ,CyberSecure Institute,AI &ML,Online,5 months,7,3,4,71,IIT Madras Standard Course,84,No
Om Verma,25,Male,CodeMasters,Ethical Hacking,Online,5 months,8,1,99,84,IIT Madras Standard Course,99,Yes
Neha Iyer,23,Male,Cloud Innovators,Cybersecurity,Offline,6 months ,6,2,93,100,NASSCOM Certification,84,Yes
Dev Verma,22,Female ,Tech Academy,Ethical Hacking,Offline,7 months,9,2,84,84,AWS Specialization,68,No
Vivaan Pandey,24,Female ,Cloud Innovators,Software Testing,Online,6 months,8,2,29,77,No Certification,71,No
Vikram Chopra,25,Female ,CodeMasters,Cybersecurity,Online,5 months,9,1,2,78,No Certification,72,Yes
Radha Joshi,22,Male,CyberSecure Institute,Data Science,Offline,6 months,8,2,66,88,No Certification,72,No
Suman Pillai,22,Male ,AI Hub,Ethical Hacking,Offline,7 months,8,3,33,87,No Certification,70,No
Samar Bhat,22,Male,CyberSecure Institute,Software Testing,Offline,8 months,7,2,65,83,IIT Madras Standard Course,66,No
Dev Joshi,22,Female ,AI Hub,Data Analytics,Offline,6 months,7,2,97,80,No Certification,94,No
Jhanvi Bhat,22,Female ,CyberSecure Institute,Data Science,Online,5 months,9,2,34,74,No Certification,74,No
Rohan Sharma,22,Female ,CodeMasters,Robotics,Online,5 months,8,2,77,80,IIT Madras Standard Course,77,No
Aditya Bhat,22,Male,Cloud Innovators,Ethical Hacking,Offline,6 months ,8,2,14,93,No Certification,73,Yes
Yash Verma,23,Male,CodeMasters,Data Analytics,Offline,7 months,5,3,42,74,No Certification,77,Yes
Samar Kapoor,25,Female ,CyberSecure Institute,Cybersecurity,Online,6 months,6,3,99,99,IIT Madras Standard Course,88,Yes
Jhanvi Venkatesh,21,Female ,AI Hub,Ethical Hacking,Offline,5 months,7,1,18,82,NASSCOM Certification,64,Yes
Suman Pillai,22,Female ,CodeMasters,Cybersecurity,Offline,6 months,5,3,36,70,Harvard University Professional Certificate,99,Yes
Kunal Tripathi,24,Male,CyberSecure Institute,Robotics,Offline,7 months,8,3,7,75,No Certification,76,Yes
Harsh Kapoor,24,Male ,CyberSecure Institute,Data Science,Online,8 months,8,2,17,85,No Certification,73,Yes
Sai Tripathi,24,Male,AI Hub,Software Testing,Online,6 months,7,3,1,80,AWS Specialization,75,No
Krishna Iyer,25,Female ,Tech Academy,Web Development,Offline,5 months,10,2,41,93,No Certification,81,No
Ishita Gowda,23,Female ,CodeMasters,Python Programming,Offline,5 months,9,1,41,83,No Certification,88,No
Samar Chopra,26,Female ,CodeMasters,Data Science,Offline,6 months ,10,3,51,99,No Certification,84,No
Ananya Kapoor,24,Male,CyberSecure Institute,Data Analytics,Online,7 months,7,2,46,81,No Certification,83,Yes
Aarohi Venkatesh,25,Male,CyberSecure Institute,Data Science,Offline,6 months,10,2,89,77,NASSCOM Certification,84,Yes
Ishita Kulkarni,22,Female ,CodeMasters,Data Science,Online,5 months,10,2,88,70,AWS Specialization,95,No
Gayatri Kulkarni,25,Female ,AI Hub,Software Testing,Online,6 months,6,1,60,96,No Certification,84,Yes
Priya Malhotra,26,Female ,CyberSecure Institute,Data Analytics,Offline,7 months,9,3,67,98,No Certification,100,No
Shruti Pillai,22,Male,CyberSecure Institute,Software Testing,Offline,8 months,9,1,2,75,Harvard University Professional Certificate,69,No
Harsh Sharma,25,Male ,CodeMasters,Cybersecurity,Offline,6 months,7,2,89,92,No Certification,100,Yes
Tanvi Iyer,23,Male,CodeMasters,Cybersecurity,Offline,5 months,9,2,20,82,Harvard University Professional Certificate,98,No
Suman Malhotra,22,Female ,Cloud Innovators,Cybersecurity,Offline,6 months,10,1,16,93,AWS Specialization,84,No
Bhavna Mehta,24,Female ,CyberSecure Institute,Web Development,Offline,5 months,10,2,30,95,NASSCOM Certification,84,No
Kavya Joshi,25,Female ,Tech Academy,Robotics,Online,6 months,7,3,57,87,No Certification,96,Yes
Diya Chopra,22,Male,CyberSecure Institute,Data Analytics,Offline,7 months,7,2,8,91,No Certification,80,No
Jhanvi Verma,22,Male,AI Hub,Web Development,Offline,8 months,10,2,18,90,No Certification,83,No
Kavya Kulkarni,22,Female ,Tech Academy,Web Development,Offline,6 months,6,1,50,96,NASSCOM Certification,99,Yes
Laksh Malhotra,22,Female ,CodeMasters,AI &ML,Online,5 months,10,3,40,91,No Certification,91,No
Om Tripathi,22,Female ,AI Hub,Python Programming,Offline,5 months,10,1,14,91,No Certification,94,Yes
Harsh Pandey,22,Male,CodeMasters,AI &ML,Online,6 months ,6,1,57,78,IIT Madras Standard Course,90,No
Pooja Mehta,22,Male ,CyberSecure Institute,Ethical Hacking,Online,7 months,5,1,8,83,No Certification,69,No
Shruti Gupta,23,Male,CyberSecure Institute,Ethical Hacking,Online,6 months,10,2,79,97,No Certification,69,No
Vikram Pandey,25,Female ,AI Hub,Data Analytics,Online,5 months,10,2,20,84,No Certification,97,Yes
Om Gowda,21,Female ,CyberSecure Institute,AI &ML,Online,6 months,5,3,39,81,No Certification,98,Yes
Rohan Chopra,22,Female ,Cloud Innovators,Software Testing,Offline,7 months,5,2,20,75,No Certification,79,No
Kabir Gupta,24,Male,CodeMasters,Python Programming,Offline,8 months,6,1,78,93,Harvard University Professional Certificate,97,Yes
Shruti Joshi,24,Male,AI Hub,Software Testing,Offline,6 months,6,2,37,99,No Certification,79,No
Sanya Naidu,24,Female ,Tech Academy,Robotics,Offline,5 months,8,3,92,98,No Certification,76,No
Samar Joshi,25,Female ,AI Hub,Python Programming,Online,5 months,7,1,17,88,No Certification,88,Yes
Aditya Verma,23,Female ,Cloud Innovators,Ethical Hacking,Online,6 months ,6,1,15,77,No Certification,93,Yes
Meera Kapoor,26,Male,CyberSecure Institute,Cloud Computing,Offline,7 months,8,2,9,78,No Certification,71,Yes
Riya Iyer,24,Male ,AI Hub,Robotics,Offline,6 months,10,3,4,92,No Certification,81,No
Nirav Pillai,25,Male,CyberSecure Institute,AI &ML,Offline,5 months,5,1,60,73,Harvard University Professional Certificate,90,No
Aryan Nair,25,Female ,CyberSecure Institute,Data Analytics,Online,6 months,7,1,61,85,AWS Specialization,60,Yes
Suman Gowda,26,Female ,Cloud Innovators,Robotics,Online,7 months,8,1,17,70,AWS Specialization,98,No
Diya Joshi,22,Female ,AI Hub,Data Analytics,Offline,8 months,6,3,98,81,No Certification,97,No
Kabir Joshi,25,Male,Tech Academy,Cloud Computing,Online,6 months,6,1,94,83,IIT Madras Standard Course,94,Yes
Aryan Tripathi,23,Male,Cloud Innovators,Python Programming,Offline,5 months,10,1,16,79,No Certification,87,No
Kabir Kulkarni,22,Female ,AI Hub,Ethical Hacking,Online,5 months,10,3,36,92,IIT Madras Standard Course,82,No
Pooja Sharma,24,Female ,Cloud Innovators,Data Analytics,Offline,6 months ,6,3,5,72,Harvard University Professional Certificate,77,Yes
Aarav Nair,25,Female ,Cloud Innovators,Data Analytics,Online,7 months,7,2,60,88,AWS Specialization,99,Yes
Kabir Gupta,22,Male,CyberSecure Institute,Python Programming,Offline,6 months,7,3,8,89,NASSCOM Certification,62,Yes
Rudra Iyer,22,Male ,Tech Academy,Cybersecurity,Online,5 months,9,3,48,74,Harvard University Professional Certificate,68,No
Aarohi Mehta,22,Male,CyberSecure Institute,Data Science,Online,6 months,5,2,63,79,NASSCOM Certification,74,Yes
Diya Gupta,22,Female ,Tech Academy,Cybersecurity,Offline,7 months,6,3,12,89,NASSCOM Certification,81,Yes
Krishna Iyer,22,Female ,Cloud Innovators,AI &ML,Offline,8 months,6,1,43,74,AWS Specialization,61,No
Ishita Kapoor,22,Female ,Cloud Innovators,Data Science,Offline,6 months,8,3,81,82,IIT Madras Standard Course,72,No
Aditya Malhotra,22,Male,Cloud Innovators,Robotics,Offline,5 months,5,2,39,81,NASSCOM Certification,86,Yes
Bhavna Kapoor,23,Male,CyberSecure Institute,Ethical Hacking,Online,5 months,10,2,57,88,No Certification,64,No
Rudra Gowda,25,Female ,CyberSecure Institute,Robotics,Online,6 months ,8,2,16,87,No Certification,85,Yes
Kunal Reddy,21,Female ,CodeMasters,Cybersecurity,Online,7 months,8,1,59,74,No Certification,100,Yes
Radha Venkatesh,22,Female ,Tech Academy,Ethical Hacking,Online,,5,1,62,72,IIT Madras Standard Course,78,No
Jhanvi Tripathi,24,Male,CodeMasters,Cloud Computing,Online,5 months,6,1,30,78,NASSCOM Certification,61,No
Aryan Gowda,24,Male ,CodeMasters,Data Science,Offline,6 months,7,2,66,93,No Certification,99,No
Diya Pandey,24,Male,AI Hub,Robotics,Online,7 months,7,1,73,92,NASSCOM Certification,61,No
Aryan Reddy,25,Female ,Tech Academy,Ethical Hacking,Online,8 months,5,3,3,75,No Certification,74,No
Tanvi Chopra,23,Female ,AI Hub,Python Programming,Online,6 months,9,2,40,76,No Certification,90,No
Yash Gupta,26,Female ,Tech Academy,Cybersecurity,Offline,5 months,5,2,11,72,No Certification,72,Yes
Meera Pillai,24,Male,Cloud Innovators,Cloud Computing,Online,6 months ,7,3,99,93,Harvard University Professional Certificate,66,Yes
Diya Venkatesh,25,Male,Cloud Innovators,Data Science,Offline,7 months,8,1,49,84,No Certification,60,Yes
Jhanvi Kulkarni,22,Female ,CyberSecure Institute,Ethical Hacking,Online,6 months,6,2,4,87,No Certification,79,No
Harsh Reddy,25,Female ,Tech Academy,Data Science,Online,5 months,6,3,29,70,NASSCOM Certification,71,Yes
Ishita Pillai,26,Male,AI Hub,Data Science,Offline,6 months,9,3,47,99,No Certification,61,No
Arjun Kapoor,22,Male ,Cloud Innovators,Data Analytics,Offline,7 months,10,3,73,82,No Certification,65,No
Shruti Pillai,25,Male,Tech Academy,Python Programming,Online,8 months,8,2,36,100,No Certification,92,No
Om Iyer,23,Female ,CyberSecure Institute,Robotics,Online,6 months,6,3,5,79,No Certification,73,No
Krishna Kulkarni,22,Female ,Cloud Innovators,Software Testing,Online,5 months,8,1,53,98,No Certification,90,No
Ishita Naidu,24,Female ,AI Hub,Cloud Computing,Online,5 months,7,2,66,76,NASSCOM Certification,66,Yes
Bhavna Pandey,25,Male,CodeMasters,Robotics,Offline,6 months ,5,1,87,70,Harvard University Professional Certificate,83,No
Ananya Chopra,22,Male,Tech Academy,AI &ML,Online,7 months,6,3,0,86,No Certification,93,No
Priya Nair,22,Female ,AI Hub,AI &ML,Online,6 months,8,1,49,94,No Certification,87,Yes
Radha Verma,22,Female ,CodeMasters,Web Development,Offline,5 months,7,3,35,100,Harvard University Professional Certificate,78,No
Diya Kulkarni,22,Female ,Cloud Innovators,Ethical Hacking,Online,,5,1,99,79,No Certification,89,No
Rudra Venkatesh,22,Male,Cloud Innovators,Data Science,Offline,7 months,6,2,88,93,No Certification,89,Yes
Bhavna Nair,22,Male ,CyberSecure Institute,AI &ML,Online,8 months,5,3,85,98,Harvard University Professional Certificate,71,Yes
Aarav Naidu,22,Male,CodeMasters,Web Development,Offline,6 months,7,2,20,78,NASSCOM Certification,99,No
Shivansh Joshi,23,Female ,AI Hub,AI &ML,Online,5 months,8,3,12,75,No Certification,96,Yes
Neha Mehta,25,Female ,CyberSecure Institute,Python Programming,Online,5 months,7,2,94,97,NASSCOM Certification,75,No
Shruti Kapoor,21,Female ,Cloud Innovators,Data Analytics,Offline,6 months ,9,,6,96,No Certification,95,No
Om Malhotra,22,Male,CyberSecure Institute,Web Development,Online,7 months,9,3,21,81,NASSCOM Certification,95,No
Yash Malhotra,24,Male,AI Hub,Robotics,Online,6 months,7,2,84,74,IIT Madras Standard Course,63,Yes
Om Reddy,24,Female ,AI Hub,Data Science,Online,5 months,9,2,69,71,IIT Madras Standard Course,97,Yes
Aditya Kulkarni,24,Female ,Cloud Innovators,Data Analytics,Online,6 months,9,2,38,70,No Certification,98,No
Nirav Naidu,25,Female ,CyberSecure Institute,Python Programming,Offline,7 months,5,3,74,91,No Certification,97,Yes
Aadhya Nair,23,Male,CodeMasters,AI &ML,Offline,8 months,5,3,19,97,No Certification,68,Yes
Nirav Naidu,26,Male ,CyberSecure Institute,Software Testing,Offline,6 months,5,2,90,71,No Certification,99,No
Aditya Chopra,24,Male,Cloud Innovators,Robotics,Offline,5 months,8,3,40,90,Harvard University Professional Certificate,98,No
Gayatri Naidu,25,Female ,CodeMasters,Data Analytics,Offline,5 months,10,1,34,100,No Certification,69,Yes
Rohan Kulkarni,22,Female ,CyberSecure Institute,Software Testing,Online,6 months ,7,3,22,99,No Certification,63,Yes
Rohan Gowda,25,Female ,AI Hub,Software Testing,Online,7 months,6,2,76,86,IIT Madras Standard Course,74,Yes
Laksh Iyer,26,Male,AI Hub,Data Analytics,Offline,6 months,9,3,71,71,No Certification,63,No
Arjun Verma,22,Male,Cloud Innovators,Data Science,Online,5 months,9,2,22,82,IIT Madras Standard Course,68,No
Shruti Gupta,25,Female ,Tech Academy,Data Analytics,Online,6 months,10,2,36,79,No Certification,87,No
Shivansh Sharma,23,Female ,Tech Academy,Cybersecurity,Online,7 months,6,1,93,85,IIT Madras Standard Course,76,No
Neha Verma,22,Female ,CodeMasters,Python Programming,Online,8 months,6,3,26,95,No Certification,74,No
Priya Pillai,24,Male,Cloud Innovators,Robotics,Offline,6 months,6,3,90,99,No Certification,86,No
Vikram Nair,25,Male ,Cloud Innovators,Cybersecurity,Online,5 months,8,2,47,91,Harvard University Professional Certificate,86,Yes
Shivansh Pandey,22,Male,CodeMasters,Python Programming,Offline,5 months,10,2,17,96,No Certification,69,No
Vivaan Iyer,22,Female ,CodeMasters,Web Development,Offline,6 months ,5,2,80,79,NASSCOM Certification,84,No
Nirav Mehta,22,Female ,CodeMasters,Cybersecurity,Online,7 months,9,2,38,80,No Certification,91,No
Aadhya Joshi,22,Female ,CyberSecure Institute,Software Testing,Online,6 months,6,1,85,73,No Certification,94,Yes
Riya Pandey,,Male,CyberSecure Institute,Cloud Computing,Online,5 months,7,3,37,92,NASSCOM Certification,91,No
Yash Deshmukh,22,Male,Tech Academy,Python Programming,Offline,6 months,5,1,42,98,AWS Specialization,73,No
Shruti Deshmukh,22,Female ,Tech Academy,Python Programming,Online,7 months,8,2,91,73,Harvard University Professional Certificate,90,No
Ananya Pillai,23,Female ,CyberSecure Institute,Cybersecurity,Online,8 months,10,3,4,97,AWS Specialization,94,No
Sai Mehta,25,Female ,Tech Academy,Software Testing,Offline,7 months,10,2,30,78,IIT Madras Standard Course,90,No
Rohan Tripathi,21,Male,Tech Academy,Cybersecurity,Online,6 months,9,3,37,85,Harvard University Professional Certificate,83,No
Riya Gowda,22,Male ,AI Hub,AI &ML,Online,5 months,8,2,17,99,No Certification,64,No
Aditya Chopra,24,Male,AI Hub,AI &ML,Offline,6 months,9,3,50,90,AWS Specialization,98,No
Samar Verma,24,Female ,Cloud Innovators,Web Development,Offline,7 months,7,2,61,99,Harvard University Professional Certificate,78,No
Sai Pandey,24,Female ,CyberSecure Institute,Python Programming,Online,8 months,6,2,36,95,No Certification,70,Yes
Laksh Mehta,25,Female ,CodeMasters,Data Analytics,Online,6 months,9,2,5,83,AWS Specialization,60,No
Kabir Nair,23,Male,CodeMasters,Software Testing,Online,5 months,6,1,26,84,AWS Specialization,77,Yes
Sanya Tripathi,26,Male,AI Hub,Data Analytics,Online,5 months,6,3,61,84,AWS Specialization,78,No
